mode seconds mbs
no-replication 145 0.00
no-replication 146 0.00
no-replication 147 0.00
no-replication 148 0.00
no-replication 149 0.00
no-replication 150 0.00
no-replication 151 0.00
no-replication 152 0.00
no-replication 153 0.00
no-replication 154 0.00
no-replication 155 0.00
no-replication 156 0.00
no-replication 157 0.00
no-replication 158 0.00
no-replication 159 0.00
no-replication 160 0.00
no-replication 161 0.00
no-replication 162 0.00
no-replication 163 0.00
no-replication 164 0.00
no-replication 165 0.00
no-replication 166 0.00
no-replication 167 0.00
no-replication 168 0.00
no-replication 169 0.00
no-replication 170 0.00
no-replication 171 0.00
no-replication 172 0.00
no-replication 173 0.00
no-replication 174 0.00
no-replication 175 0.00
no-replication 176 0.00
no-replication 177 0.00
no-replication 178 0.00
no-replication 179 0.00
no-replication 180 0.00
no-replication 181 0.00
no-replication 182 0.00
no-replication 183 0.00
no-replication 184 0.00
no-replication 185 0.00
no-replication 186 0.00
no-replication 187 0.00
no-replication 188 0.00
no-replication 189 0.00
no-replication 190 0.00
no-replication 191 0.00
no-replication 192 0.00
no-replication 193 0.00
no-replication 194 0.00
no-replication 195 0.00
no-replication 196 0.00
no-replication 197 0.00
no-replication 198 0.00
no-replication 199 0.00
no-replication 200 0.00
skip-append 1 0.00
skip-append 2 396.38
skip-append 3 394.48
skip-append 4 395.24
skip-append 5 395.86
skip-append 6 27.42
skip-append 7 0.00
skip-append 8 0.00
skip-append 9 0.00
skip-append 10 0.00
skip-append 11 0.00
skip-append 12 0.00
skip-append 13 0.00
skip-append 14 0.00
skip-append 15 0.00
skip-append 16 0.00
skip-append 17 0.00
skip-append 18 0.00
skip-append 19 0.00
skip-append 20 0.00
skip-append 21 0.00
skip-append 22 0.00
skip-append 23 0.00
skip-append 24 0.00
skip-append 25 0.00
skip-append 26 0.00
skip-append 27 0.00
skip-append 28 0.00
skip-append 29 0.00
skip-append 30 0.00
skip-append 31 0.00
skip-append 32 0.00
skip-append 33 0.00
skip-append 34 0.00
skip-append 35 0.00
skip-append 36 0.00
skip-append 37 0.00
skip-append 38 0.00
skip-append 39 0.00
skip-append 40 0.00
skip-append 41 0.00
skip-append 42 0.00
skip-append 43 0.00
skip-append 44 0.00
skip-append 45 0.00
skip-append 46 0.00
skip-append 47 0.00
skip-append 48 0.00
skip-append 49 0.00
skip-append 50 0.00
skip-append 51 0.00
skip-append 52 0.00
skip-append 53 0.00
skip-append 54 0.00
skip-append 55 0.00
skip-append 56 0.00
skip-append 57 0.00
skip-append 58 0.00
skip-append 59 0.00
skip-append 60 0.00
skip-append 61 0.00
skip-append 62 0.00
skip-append 63 0.00
skip-append 64 0.00
skip-append 65 0.00
skip-append 66 0.00
skip-append 67 0.00
skip-append 68 0.00
skip-append 69 0.00
skip-append 70 0.00
skip-append 71 0.00
skip-append 72 0.00
skip-append 73 0.00
skip-append 74 0.00
skip-append 75 0.00
skip-append 76 0.00
skip-append 77 0.00
skip-append 78 0.00
skip-append 79 0.00
skip-append 80 0.00
skip-append 81 0.00
skip-append 82 0.00
skip-append 83 0.00
skip-append 84 0.00
skip-append 85 0.00
skip-append 86 0.00
skip-append 87 0.00
skip-append 88 0.00
skip-append 89 0.00
skip-append 90 0.00
skip-append 91 0.00
skip-append 92 0.00
skip-append 93 0.00
skip-append 94 0.00
skip-append 95 0.00
skip-append 96 0.00
skip-append 97 0.00
skip-append 98 0.00
skip-append 99 0.00
skip-append 100 0.00
skip-append 101 0.00
skip-append 102 0.00
skip-append 103 0.00
skip-append 104 0.00
skip-append 105 0.00
skip-append 106 0.00
skip-append 107 0.00
skip-append 108 0.00
skip-append 109 0.00
skip-append 110 0.00
