timestamp,CBO.PCIE_DATA_BYTES
2.000385055,#NC#NC#NC#NC#NC#NC#NC#NC
3.000609479,0.0
4.000864266,0.0
5.001095068,0.0
6.001351199,0.0
7.001594137,0.0
8.001861821,#NC#NC#NC#NC#NC#NC#NC#NC
9.002453699,0.0
10.002682984,0.0
11.002912206,0.0
12.003135159,0.0
13.003356297,0.0
14.003596729,0.0457153320312
15.003820423,#NC#NC#NC#NC#NC#NC#NC#NC
16.004063101,0.0
17.004354195,0.0
18.004644533,70.2419433594
19.004938532,70.1906738281
20.005230759,68.017578125
21.005523017,70.5637817383
22.005791616,#NC#NC#NC#NC#NC#NC#NC#NC
23.006330056,70.0055541992
24.006622503,70.7716064453
25.006909964,70.1055908203
26.007199535,73.7147827148
27.007481194,70.0676269531
28.007772950,69.4613647461
29.008045255,#NC#NC#NC#NC#NC#NC#NC#NC
30.008345851,69.9638061523
31.008633485,67.3776245117
32.008920036,69.6616210938
33.009210628,69.1802368164
34.009505401,70.6463623047
35.009794808,69.6381835938
36.010333840,#NC#NC#NC#NC#NC#NC#NC#NC
37.010628890,70.2020874023
38.010915675,69.8184814453
39.011209822,69.7673339844
40.011501948,70.6633911133
41.011792668,69.5284423828
42.012081073,70.5463867188
43.012358551,#NC#NC#NC#NC#NC#NC#NC#NC
44.012649965,70.4588623047
45.012941907,70.1134643555
46.013231693,70.2512207031
47.013521520,70.2779541016
48.013810612,69.5200195312
49.014331053,69.9821777344
50.014600824,#NC#NC#NC#NC#NC#NC#NC#NC
51.014892410,70.2612304688
52.015183225,68.1150512695
53.015476838,69.8277587891
54.015766114,70.4194946289
55.016059148,69.9822998047
56.016357886,69.6272583008
57.016614394,#NC#NC#NC#NC#NC#NC#NC#NC
58.016901956,68.7150268555
59.017191741,70.2684936523
60.017476642,70.5830688477
61.017770174,69.7117919922
62.018323284,73.2847290039
63.018615320,69.8345336914
64.018879824,#NC#NC#NC#NC#NC#NC#NC#NC
65.019168192,69.9263305664
66.019459404,69.5596923828
67.019754303,70.2994384766
68.020052487,70.4616088867
69.020359735,70.4864501953
70.020647866,69.3553466797
71.020913497,#NC#NC#NC#NC#NC#NC#NC#NC
72.021205910,69.3464355469
73.021494249,69.9905395508
74.021779593,70.6817626953
75.022318792,67.9418945312
76.022846279,70.294921875
77.023360506,#NC#NC#NC#NC#NC#NC#NC#NC
78.023882148,0.0
79.024370399,0.0608520507812
79.024370399,0.0
