timestamp,CBO.PCIE_DATA_BYTES
2.000334183,#NC#NC#NC#NC#NC#NC#NC#NC
3.000540224,0.0
4.000747293,0.0
5.000974133,0.0
6.001188569,0.0
7.001447699,0.0
8.002690416,0.0
9.002926853,0.0
10.003162539,0.015869140625
11.003402665,0.0152587890625
12.003628613,#NC#NC#NC#NC#NC#NC#NC#NC
13.003872182,0.0152587890625
14.004108064,0.0
15.004354506,0.0
16.004627854,0.0
17.004923292,74.512512207
18.005369052,78.3424072266
19.005660436,77.4591064453
20.005947327,77.9069824219
21.006239811,77.8973999023
22.006539868,78.0162353516
23.006801328,#NC#NC#NC#NC#NC#NC#NC#NC
24.007100006,77.6776123047
25.007417244,77.0170898438
26.007708628,77.5733032227
27.008010157,77.3888549805
28.008299899,78.0043334961
29.008603061,77.9528808594
30.008901668,76.919128418
31.009368447,77.5509033203
32.009681022,74.5209960938
33.009975202,76.7006835938
34.010272427,#NC#NC#NC#NC#NC#NC#NC#NC
35.010573372,76.9339599609
36.010874701,77.2623291016
37.011178417,77.032043457
38.011495922,77.3092041016
39.011790037,78.1796264648
40.011971269,77.2534790039
41.012152368,77.0057983398
42.012446782,77.6854248047
43.012752462,77.598449707
44.013367377,#NC#NC#NC#NC#NC#NC#NC#NC
45.013671067,77.9219360352
46.013975589,74.0263671875
47.014273856,77.8949584961
48.014574247,78.016418457
49.014880817,77.3452758789
50.015208689,76.3988647461
51.015500264,75.1275024414
52.015800117,78.3274536133
53.016103605,74.9078369141
54.016405231,77.8051757812
55.016679016,#NC#NC#NC#NC#NC#NC#NC#NC
56.016972551,77.3215942383
57.017375836,77.8775024414
58.017675162,77.516784668
59.017975634,77.8121337891
60.018275999,77.4916381836
61.018583050,78.5
62.018887571,77.9022216797
63.019201756,77.7014770508
64.019499550,78.206237793
65.019779236,#NC#NC#NC#NC#NC#NC#NC#NC
66.020077979,77.0718383789
67.020372917,77.657409668
68.020678691,77.6892089844
69.020981347,77.4204101562
70.021362913,77.8381347656
71.021668238,77.1782836914
72.021966278,77.6440429688
73.022263974,77.5491333008
74.022567321,78.5014648438
75.023057679,74.8026123047
76.023641414,#NC#NC#NC#NC#NC#NC#NC#NC
77.024177212,0.0
78.024672664,0.0303955078125
78.024672664,0.1376953125
