timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
2.000511664,#NC#NC#NC#NC#NC#NC#NC#NC
3.000740139,1.44342041016
4.000956447,#NC#NC#NC#NC#NC#NC#NC#NC
5.001195926,0.488037109375
6.001425072,1.96771240234
7.001643419,#NC#NC#NC#NC#NC#NC#NC#NC
8.001878511,1.23522949219
9.003067036,#NC#NC#NC#NC#NC#NC#NC#NC
10.003294317,0.518981933594
11.003535132,1.51000976562
12.003753356,#NC#NC#NC#NC#NC#NC#NC#NC
13.003985794,1.79864501953
14.004212815,#NC#NC#NC#NC#NC#NC#NC#NC
15.004467475,0.9150390625
16.004792028,403.534729004
17.005055439,#NC#NC#NC#NC#NC#NC#NC#NC
18.005348801,397.175476074
19.005625510,#NC#NC#NC#NC#NC#NC#NC#NC
20.005943312,387.987915039
21.006358931,399.765441895
22.006622292,#NC#NC#NC#NC#NC#NC#NC#NC
23.006907789,378.385375977
24.007176900,#NC#NC#NC#NC#NC#NC#NC#NC
25.007462258,365.310119629
26.007745641,380.806884766
27.008019341,#NC#NC#NC#NC#NC#NC#NC#NC
28.008323231,391.804992676
29.008605191,#NC#NC#NC#NC#NC#NC#NC#NC
30.008893170,400.335083008
31.009188064,391.047851562
32.009459320,#NC#NC#NC#NC#NC#NC#NC#NC
33.009943221,392.961914062
34.010355399,370.232727051
35.010617438,#NC#NC#NC#NC#NC#NC#NC#NC
36.010905539,377.338745117
37.011170093,#NC#NC#NC#NC#NC#NC#NC#NC
38.011463970,360.335205078
39.011758907,386.720947266
40.012022525,#NC#NC#NC#NC#NC#NC#NC#NC
41.012310429,374.116088867
42.012572549,#NC#NC#NC#NC#NC#NC#NC#NC
43.012865892,383.896484375
44.013163063,394.501647949
45.013433747,#NC#NC#NC#NC#NC#NC#NC#NC
46.013939451,402.44708252
47.014197117,#NC#NC#NC#NC#NC#NC#NC#NC
48.014503942,380.009338379
49.014794039,390.906005859
50.015062651,#NC#NC#NC#NC#NC#NC#NC#NC
51.015345466,381.787414551
52.015610663,#NC#NC#NC#NC#NC#NC#NC#NC
53.015899540,376.874450684
54.016188797,385.581970215
55.016451128,#NC#NC#NC#NC#NC#NC#NC#NC
56.016738008,394.226379395
57.017007597,#NC#NC#NC#NC#NC#NC#NC#NC
58.017299566,384.366699219
59.017594317,374.446350098
60.017948226,#NC#NC#NC#NC#NC#NC#NC#NC
61.018358634,391.709655762
62.018650182,398.555480957
63.018918329,#NC#NC#NC#NC#NC#NC#NC#NC
64.019207893,388.666870117
65.019476325,#NC#NC#NC#NC#NC#NC#NC#NC
66.019766862,388.625244141
67.020054762,387.512268066
68.020319095,#NC#NC#NC#NC#NC#NC#NC#NC
69.020611886,386.652160645
70.020880524,#NC#NC#NC#NC#NC#NC#NC#NC
71.021173039,398.911315918
72.021465271,401.646972656
73.021936981,#NC#NC#NC#NC#NC#NC#NC#NC
74.022227539,398.536743164
75.022492506,#NC#NC#NC#NC#NC#NC#NC#NC
76.022774197,383.584899902
77.023171658,1.23999023438
78.023532343,#NC#NC#NC#NC#NC#NC#NC#NC
78.023532343,1.1494140625
