timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
2.000368445,0.9619140625
3.000608930,1.31213378906
4.000837513,0.633239746094
5.001061345,0.488342285156
6.001283514,0.488342285156
7.001526783,0.488342285156
8.001752937,0.534118652344
9.002991377,1.19030761719
10.003250927,1.37475585938
11.003509982,1.75445556641
12.003768409,1.70886230469
13.004015244,2.33453369141
14.004277900,1.42663574219
15.004592309,1.72418212891
16.004899019,322.84942627
17.005203677,355.710876465
18.005518070,357.639648438
19.005836361,348.27722168
20.006201566,354.326843262
21.006525409,354.504150391
22.006824970,354.54309082
23.007130726,338.637634277
24.007437409,354.33996582
25.007744413,344.55267334
26.008062780,359.61541748
27.008374445,344.61907959
28.008680735,353.596191406
29.008985637,351.14831543
30.009297986,346.217956543
31.009607837,354.278625488
32.009915388,352.845397949
33.010239946,353.494018555
34.010567913,351.158508301
35.010876262,352.889099121
36.011181342,355.642944336
37.011479143,344.199462891
38.011788715,344.044555664
39.012093712,344.444274902
40.012403497,349.501831055
41.012712984,356.143493652
42.013022547,343.298278809
43.013339237,350.876220703
44.013654552,350.626159668
45.013966101,356.266540527
46.014268529,352.920288086
47.014574887,355.606933594
48.014882449,350.236816406
49.015175365,348.958557129
50.015480392,348.018676758
51.015785785,356.171386719
52.016093611,367.625732422
53.016402237,357.093994141
54.016714838,352.592468262
55.017029305,345.652038574
56.017340302,357.037536621
57.017655268,363.21081543
58.017971996,350.774169922
59.018265629,348.363647461
60.018573095,354.956359863
61.018874579,353.417114258
62.019183028,347.303833008
63.019491787,349.907836914
64.019802465,351.151733398
65.020107741,333.884277344
66.020415463,347.42364502
67.020726512,352.925292969
68.021034728,338.065551758
69.021346087,346.765686035
70.021654426,354.990234375
71.021970565,354.291320801
72.022268603,354.216552734
73.022569955,350.596374512
74.022850548,350.92767334
75.023102976,351.979248047
76.023491868,1.72161865234
76.023491868,2.13641357422
