timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
0.902548308,0.180847167969
1.703952811,0.0488891601562
2.505527290,0.204772949219
3.307068603,0.132934570312
4.108635471,0.1865234375
4.910304631,0.166381835938
5.712309620,0.0748901367188
6.513969435,0.272094726562
7.315732100,0.0733032226562
8.017475390,0.267700195312
8.819065093,0.264526367188
9.620699830,0.180419921875
10.422395376,0.291931152344
11.224071512,0.0489501953125
12.025886836,0.5712890625
12.831625747,0.0535278320312
13.633737413,38.8104248047
14.435846534,40.0679321289
15.237986782,41.4777832031
15.939818955,39.5329589844
16.741972443,38.0962524414
17.544102470,38.4017944336
18.346611857,38.4060668945
19.148761828,39.6978759766
19.951036850,39.3503417969
20.753158650,38.9382324219
21.555308458,39.184753418
22.357460930,41.0194702148
23.159599894,38.7607421875
23.861500119,39.0802612305
24.663660597,39.4235839844
25.465775838,40.3047485352
26.267927748,38.3673095703
27.070219181,39.5770874023
27.872379558,39.3457641602
28.674507345,39.037902832
29.476632612,40.4614257812
30.278785003,38.1975097656
31.080908091,39.040222168
31.782810244,39.9197387695
32.584911337,40.5100708008
33.387038754,39.8453979492
34.189166587,39.2282104492
34.991298113,37.8526000977
35.793415416,40.0480957031
36.595549231,39.3286132812
37.397685959,39.5233154297
38.199832538,40.2249145508
39.703852501,38.2194824219
40.505982066,38.4194946289
41.308101487,39.884765625
42.110247571,38.6905517578
42.912373734,37.9946289062
43.714502289,38.1801757812
44.516618785,40.8557128906
45.318775299,40.6805419922
46.120897596,38.5061645508
46.822795535,39.901550293
47.624914957,38.0720214844
48.427037795,38.1363525391
49.229177703,41.2225341797
50.031328307,38.653137207
50.833483462,39.3955688477
51.635577288,38.8495483398
52.437720435,40.0768432617
53.239845858,39.7736816406
54.041999249,40.0687255859
54.743885358,37.9389038086
55.546061558,37.5028076172
56.348215588,38.748046875
57.150495193,39.4918823242
57.952664545,39.5581054688
58.754828911,41.0180053711
59.556959254,41.0485839844
60.359102652,40.4321899414
61.161226224,38.7584228516
61.963400635,39.0706787109
62.665382127,39.9829101562
63.467573573,38.0090332031
64.269705803,39.7745361328
65.071836941,40.9182128906
65.873971756,41.7212524414
66.676113788,39.0523681641
67.478250724,39.7357177734
68.280385727,37.6572265625
69.082547675,39.8236083984
69.884650305,40.3500366211
70.586529074,38.6145019531
71.388623174,40.8788452148
72.190787882,40.419128418
72.992874355,39.606262207
73.795040090,39.7496948242
74.597170562,39.4208984375
75.399320315,39.5646972656
76.201481726,39.7366943359
77.003637494,38.8765869141
77.805959361,39.5303955078
78.507839190,39.4497070312
79.309966943,35.8365478516
80.112122906,40.5120849609
80.914271326,38.7645263672
81.716379568,40.4682006836
82.518523289,39.2319335938
83.320656814,38.8953857422
84.122825336,39.1524047852
84.924926829,39.3287353516
85.727102993,39.9908447266
86.428975994,37.8970947266
87.231140273,38.5777587891
88.033385610,37.117980957
88.835576564,40.4457397461
89.637738082,39.7048950195
90.439887747,38.1834106445
91.242014134,37.7391967773
92.044098665,37.2559814453
92.846234632,39.5580444336
93.648386611,38.0659790039
94.350263843,40.5219726562
95.152382954,39.9434204102
95.954557338,39.0009155273
96.756681417,40.0537719727
97.558838086,40.3514404297
98.360968934,38.5863647461
99.163116262,39.0486450195
99.965388245,38.0482788086
100.767569524,41.4906005859
101.569721377,40.3552246094
102.271599122,37.715637207
103.981915132,0.109558105469
104.786057456,0.148620605469
105.590005343,0.189086914062
