timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
0.200332443,58.497253418,57.7197265625,61.8889770508,54.5532226562
0.300520246,58.4075317383,57.729675293,61.9353027344,54.5618286133
0.400714172,58.5009765625,58.2819824219,62.3325805664,54.9104614258
0.500900444,58.0751342773,57.9000244141,62.0838012695,54.5521240234
0.601088821,58.3680419922,58.1287231445,62.2687988281,54.6780395508
0.701281105,58.041015625,57.7942504883,61.9548950195,54.4253540039
0.801470894,59.0291748047,58.8004760742,62.8991699219,55.3751831055
0.901665082,58.5162963867,58.4465942383,62.5372924805,55.0584716797
1.001858453,58.7122802734,58.7109375,62.7665405273,55.4217529297
1.102070065,58.2236938477,58.3260498047,62.23828125,54.8158569336
1.202262064,58.2813720703,58.2509765625,62.4552612305,54.9112548828
1.302452972,61.6117553711,61.5705566406,65.6814575195,58.2315063477
1.402641168,59.0369262695,58.9653930664,63.0799560547,55.6833496094
1.502844130,58.3599243164,58.4527587891,62.6333618164,55.1145019531
1.603035296,59.5579833984,59.5861816406,63.6926879883,56.2819213867
1.703230080,58.8486328125,58.9006347656,62.9357910156,55.5894775391
1.803425920,59.0676269531,59.0764160156,63.201171875,55.7326660156
1.903623502,58.5154418945,58.5615844727,62.6708374023,55.2249755859
2.003818185,58.5231933594,58.5778808594,62.7221679688,55.257019043
2.104007944,58.537902832,58.5022583008,62.6323852539,55.2009887695
2.204209785,57.5868530273,57.6868286133,61.8927001953,54.333984375
2.304393218,58.3948974609,58.3806762695,62.5200805664,55.0624389648
2.404585638,61.553894043,61.6815795898,65.7447509766,58.2290649414
2.504779888,58.4012451172,58.5241699219,62.6182861328,55.1212158203
2.604970354,58.9310913086,58.9468994141,63.0877075195,55.5946044922
2.705163871,58.8926391602,58.9266357422,63.0048217773,55.5081787109
2.805357057,58.7322387695,58.8122558594,63.0021362305,55.4671630859
2.905546308,58.8189086914,58.8676757812,62.9327392578,55.4381713867
3.005738932,58.8940429688,58.9507446289,63.0187988281,55.5124511719
3.105927835,59.1802978516,59.1359863281,63.2581176758,55.8568115234
3.206121540,58.9041748047,58.9644775391,62.9497070312,55.5709838867
3.306331338,58.4661254883,58.467590332,62.6115112305,55.2415771484
3.406520375,58.0875854492,58.0626831055,62.171081543,54.7865600586
3.506716279,61.8161010742,61.7451171875,65.8018798828,58.2797241211
3.606899038,78.036315918,78.4436035156,85.1850585938,77.2757568359
3.707104796,235.829772949,232.947143555,237.054504395,227.304443359
3.807334846,38.2835693359,38.7260131836,46.6217041016,39.4841308594
3.907532483,48.5067749023,48.4982299805,53.2088012695,45.7736816406
4.007713785,58.9276123047,59.0176391602,63.0539550781,55.5834960938
4.107870311,59.0203857422,59.0168457031,63.075012207,55.7384643555
4.208010702,9.5732421875,9.53466796875,17.3477172852,9.52429199219
