timestamp,CBO.LLC_PCIE_MEM_TOTAL_BYTES
4.001243491,1.67828369141
6.001698823,1.55609130859
8.002176925,1.28179931641
10.002650310,2.11340332031
13.003383755,1.31243896484
15.005181517,5575.89520264
17.005794549,5781.60430908
19.006401295,5757.68060303
21.007035052,5806.20239258
24.008547960,5786.09539795
26.009144363,5778.38397217
28.009763918,5807.89526367
30.010387596,5807.48931885
32.011020966,5798.01434326
35.012566550,5790.92163086
37.013168868,5800.10998535
39.013766877,5268.48522949
41.014395857,5804.33685303
43.014994944,5565.58831787
46.016640180,5758.78869629
48.017334149,5759.91375732
50.017922943,5804.77386475
52.018545608,5184.25195312
54.019143639,5782.21710205
57.020558185,5810.63909912
59.021154149,5563.60125732
61.021773577,5807.77368164
63.022410394,5802.93963623
66.023417017,5780.06854248
68.024541219,5776.40466309
70.025159390,5580.50665283
72.025778455,5781.37054443
74.026313538,1.61346435547
