timestamp,S0-iMC0.MEM_BW_TOTAL,S0-iMC1.MEM_BW_TOTAL,S0-iMC2.MEM_BW_TOTAL
0.200798387,90.5603637695,90.5875244141,104.012268066
0.301184349,182.651550293,182.659423828,202.362609863
0.401554728,267.465515137,267.48828125,293.946838379
0.502014591,28.4128417969,28.3956298828,776.789611816
0.602464448,1.27978515625,1.27288818359,943.039550781
0.702897305,1.32739257812,1.31896972656,941.688659668
0.803282295,90.4473266602,90.469909668,786.972595215
0.903681203,223.729675293,223.719665527,536.310546875
1.004032753,91.8135986328,91.7888183594,160.114624023
1.104333448,0.172058105469,0.167663574219,1.88079833984
1.204610394,0.0357666015625,0.031494140625,1.50384521484
1.304883395,0.03173828125,0.026123046875,1.46063232422
1.405153082,0.025634765625,0.0221557617188,1.41052246094
1.505458238,0.023681640625,0.0225219726562,1.42541503906
1.605759504,0.188171386719,0.188537597656,2.63922119141
1.706057910,0.0225219726562,0.022216796875,1.42071533203
1.806335594,0.0222778320312,0.019287109375,1.43109130859
1.906607541,0.359130859375,0.358703613281,2.07611083984
2.006875607,0.0302734375,0.0279541015625,1.43817138672
2.107141990,0.0298461914062,0.0278930664062,1.53302001953
2.207407184,0.028564453125,0.0233154296875,1.45281982422
2.307678522,0.0240478515625,0.021484375,1.44317626953
2.408005474,0.021728515625,0.017578125,1.40844726562
2.508270735,0.0247802734375,0.0219116210938,1.42224121094
2.608550543,0.0250854492188,0.0184326171875,1.44537353516
2.708822508,0.0247802734375,0.0186157226562,1.42126464844
2.809111513,0.0231323242188,0.018310546875,1.41314697266
2.909370438,3.63452148438,3.64892578125,6.47814941406
3.009630946,0.187377929688,0.175964355469,1.69366455078
3.109891168,0.102905273438,0.0963134765625,1.70837402344
3.210145895,0.0433349609375,0.03662109375,1.45684814453
3.310400987,0.0408935546875,0.0411376953125,1.46258544922
3.410660065,0.024169921875,0.0223999023438,1.40893554688
3.510921377,0.0382080078125,0.03759765625,1.43518066406
3.611186225,0.0261840820312,0.0242919921875,1.43182373047
3.711450153,0.0261840820312,0.0208740234375,1.41540527344
3.811716257,0.0249633789062,0.023681640625,1.43103027344
3.912010666,2.85894775391,2.86547851562,4.71051025391
4.012291085,0.0299072265625,0.0279541015625,1.41986083984
4.112577986,0.0305786132812,0.0277099609375,1.44506835938
4.212861554,0.02587890625,0.0232543945312,1.41943359375
4.313140963,0.0255737304688,0.0214233398438,1.43658447266
4.413424353,0.022216796875,0.0171508789062,1.40008544922
4.513702380,0.050048828125,0.0444946289062,1.45025634766
4.613987634,0.0263671875,0.021728515625,1.42578125
4.714265407,0.038330078125,0.0317993164062,1.42529296875
4.814553234,0.0256958007812,0.0243530273438,1.42346191406
4.914855254,2.96063232422,2.96472167969,4.95629882812
5.015128586,0.0618286132812,0.0606079101562,1.46966552734
5.115393649,0.0303344726562,0.0267944335938,1.44866943359
5.215659338,0.0310668945312,0.0274047851562,1.43634033203
5.315899816,0.0294799804688,0.02783203125,1.43988037109
5.416175044,0.0284423828125,0.0267944335938,1.41876220703
5.516442085,0.0237426757812,0.0216064453125,1.41259765625
5.616708824,0.0225219726562,0.0197143554688,1.435546875
5.716977249,0.0250244140625,0.0208740234375,1.41369628906
5.817250037,0.0236206054688,0.0215454101562,1.42407226562
5.917499994,2.83648681641,2.82574462891,4.72003173828
6.017762147,0.0431518554688,0.0457153320312,1.46276855469
6.118006256,0.0669555664062,0.06201171875,1.57305908203
6.218251756,0.0379028320312,0.0336303710938,1.45440673828
6.318498833,0.0418090820312,0.0360717773438,1.46722412109
6.418743378,0.024169921875,0.0188598632812,1.39544677734
6.518992892,0.0408935546875,0.0346069335938,1.46697998047
6.619240857,0.0340576171875,0.0299072265625,1.45910644531
6.719485568,0.0286865234375,0.0274658203125,1.42608642578
6.819743789,0.0213012695312,0.0216064453125,1.41516113281
6.920007880,2.87561035156,2.88793945312,4.72283935547
7.020252864,0.0513305664062,0.05126953125,1.48992919922
7.120496535,0.0250244140625,0.0230712890625,1.40893554688
7.220749581,0.259216308594,0.253051757812,2.05041503906
7.321001762,0.04052734375,0.0388793945312,1.47229003906
7.421251401,0.0243530273438,0.022216796875,1.41156005859
7.521500357,0.0613403320312,0.054443359375,1.47521972656
7.621749929,0.0261840820312,0.0213623046875,1.40570068359
7.721999473,0.0247192382812,0.0223388671875,1.40747070312
7.822255417,0.0241088867188,0.01904296875,1.42242431641
7.922504715,2.82037353516,2.82684326172,4.6962890625
8.022749286,0.0431518554688,0.051025390625,1.46099853516
8.122994960,0.033447265625,0.030029296875,1.44390869141
8.223241535,0.0293579101562,0.023193359375,1.41937255859
8.323490342,0.0284423828125,0.0223388671875,1.43408203125
8.423734259,0.0242919921875,0.0186767578125,1.39837646484
8.523996258,0.0258178710938,0.0218505859375,1.43469238281
8.624245947,0.0226440429688,0.021484375,1.40264892578
8.724495940,0.0223388671875,0.0214233398438,1.40533447266
8.824758842,0.0258178710938,0.0242309570312,1.42736816406
8.925014856,2.79809570312,2.78503417969,4.72406005859
9.025261920,0.0401611328125,0.0382080078125,1.44885253906
9.125509219,0.0234985351562,0.0230712890625,1.40808105469
9.225757929,0.0311889648438,0.0305786132812,1.42828369141
9.326009164,0.0274047851562,0.0243530273438,1.43481445312
9.426257223,0.0277099609375,0.0243530273438,1.42797851562
9.526504063,0.0248413085938,0.0222778320312,1.43389892578
9.626755341,0.0225219726562,0.0197143554688,1.40179443359
9.727007933,0.0328979492188,0.0285034179688,1.42230224609
9.827263643,0.0298461914062,0.0244750976562,1.44573974609
