"","timestamp","S0.iMC0.MEM_BW_TOTAL","S0.iMC1.MEM_BW_TOTAL","S0.iMC2.MEM_BW_TOTAL","totalmembw"
"1",0.200689778,0.099038541317,0.100296616554,0.112049520016,3.11384677887
"2",0.301151621,0.199193954468,0.200460612774,0.218342900276,6.17997467518
"3",0.401729366,0.250671863556,0.251821219921,0.273804008961,7.76297092438
"4",0.502441716,0.291697621346,0.292923331261,0.324267625809,9.08888578416
"5",0.60302535,0.00961464643478,0.010861158371,0.763213217258,7.8368902206378
"6",0.703573789,0.00133812427521,0.00258183479309,0.923529446125,9.274494051933
"7",0.804061717,0.00114500522614,0.00237691402435,0.926627457142,9.3014937639249
"8",0.904559593,0.0096737742424,0.0109102129936,0.907799005508,9.28382992744
"9",1.005137152,0.0933219194412,0.0939323306084,0.173183917999,3.604381680486
"10",1.105668643,0.000153243541718,0.000178217887878,0.000553250312805,0.00884711742401
"11",1.206198353,2.39610671997e-05,6.35981559753e-05,0.000167191028595,0.0025475025177
"12",1.306721746,9.89437103271e-06,4.00543212891e-05,0.000124573707581,0.0017452239990281
"13",1.407274575,1.25765800476e-05,2.84314155579e-05,0.000135064125061,0.001760721206665
"14",1.507857284,8.70227813721e-06,4.39882278442e-05,0.000156581401825,0.0020927190780641
"15",1.608443682,9.23871994019e-06,4.04715538025e-05,0.000134825706482,0.0018453598022469
"16",1.709027079,8.70227813721e-06,5.81741333008e-05,0.000180661678314,0.0024753808975201
"17",1.809591045,1.19209289551e-05,4.90546226501e-05,0.000138819217682,0.001997947692872
"18",1.910148085,5.12599945068e-06,2.49147415161e-05,0.000110387802124,0.0014042854309078
"19",2.010732664,5.12599945068e-06,4.2736530304e-05,0.000131189823151,0.0017905235290568
"20",2.111351742,8.70227813721e-06,3.21269035339e-05,0.000111997127533,0.0015282630920411
"21",2.211937568,7.5101852417e-06,3.85642051697e-05,0.000118255615234,0.001643300056454
"22",2.312527946,5.48362731934e-06,2.83122062683e-05,0.000125586986542,0.0015938282012964
"23",2.413108957,6.27636909485e-05,8.52346420288e-05,0.000200688838959,0.003486871719363
"24",2.513687062,4.76837158203e-06,3.99947166443e-05,0.000129163265228,0.0017392635345433
"25",2.614286682,5.48362731934e-06,3.53455543518e-05,0.000105440616608,0.0014626979827914
"26",2.714867898,5.78165054321e-06,4.60743904114e-05,0.000128269195557,0.0018012523651161
"27",2.815468582,4.58955764771e-06,4.07695770264e-05,0.000111639499664,0.0015699863433811
"28",2.916050366,4.05311584473e-06,2.67028808594e-05,0.000109553337097,0.0014030933380113
"29",3.016637955,8.80360603333e-05,0.00017249584198,0.000533878803253,0.007944107055663
"30",3.117225377,4.05311584473e-06,2.83122062683e-05,0.000110566616058,0.0014293193817103
"31",3.217810119,6.37769699097e-06,3.77297401428e-05,0.000133633613586,0.0017774105071977
"32",3.318394627,5.30481338501e-06,3.25441360474e-05,0.000135660171509,0.0017350912094141
"33",3.418998102,4.94718551636e-06,2.7060508728e-05,0.000103533267975,0.0013554096221936
"34",3.519578108,6.37769699097e-06,3.90410423279e-05,0.000132143497467,0.0017756223678587
"35",3.620165186,5.36441802979e-06,2.72989273071e-05,0.00010621547699,0.0013887882232689
"36",3.720739945,6.25848770142e-06,4.04119491577e-05,0.000128209590912,0.0017488002777112
"37",3.82133108,1.06692314148e-05,4.05311584473e-05,0.000122487545013,0.001736879348751
"38",3.921911774,4.29153442383e-06,2.80737876892e-05,0.000103771686554,0.0013613700866703
"39",4.022488752,1.36494636536e-05,5.79953193665e-05,0.000258982181549,0.003306269645691
"40",4.123094165,5.00679016113e-06,3.01003456116e-05,0.000113368034363,0.0014847517013573
"41",4.223683447,3.8743019104e-06,4.12464141846e-05,0.000129401683807,0.00174522399902
"42",4.324276346,7.15255737305e-06,4.97698783875e-05,0.000130474567413,0.0018739700317355
"43",4.424855151,4.52995300293e-06,5.51342964172e-05,0.00013655424118,0.0019621849060013
"44",4.525432796,4.29153442383e-06,2.8133392334e-05,0.000114560127258,0.0014698505401583
"45",4.626018918,4.23192977905e-06,2.88486480713e-05,0.000111043453217,0.0014412403106735
"46",4.726627986,4.52995300293e-06,3.89218330383e-05,0.000129818916321,0.0017327070236223
"47",4.827292284,0.000130534172058,0.000179290771484,0.000369787216187,0.00679612159729
"48",4.927889559,5.90085983276e-06,4.02331352234e-05,0.000129461288452,0.0017559528350816
"49",5.028483684,3.93390655518e-06,3.35574150085e-05,0.00010472536087,0.0014221668243368
"50",5.129071746,4.58955764771e-06,2.98619270325e-05,0.000104248523712,0.0013870000839221
"51",5.229660257,7.7486038208e-06,4.27961349487e-05,0.000142931938171,0.001934766769405
"52",5.330241178,7.2717666626e-06,3.28421592712e-05,0.000104188919067,0.001443028450008
"53",5.430826202,5.42402267456e-06,3.54051589966e-05,0.000121295452118,0.0016212463378916
"54",5.53144062,4.23192977905e-06,2.93254852295e-05,0.000110030174255,0.0014358758926355
"55",5.632038202,3.81469726562e-06,3.39150428772e-05,0.000122785568237,0.0016051530837982
"56",5.732570418,5.12599945068e-06,4.13656234741e-05,0.000121355056763,0.0016784667968778
"57",5.83317436,3.93986701965e-05,0.00107085704803,0.000167012214661,0.012772679328875
"58",5.933730087,3.81469726562e-06,3.50475311279e-05,0.000122487545013,0.0016134977340652
"59",6.034162187,0.000132918357849,0.00115287303925,0.000514149665833,0.01799941062932
"60",6.134474944,2.00271606445e-05,0.00126659870148,0.000121176242828,0.014078021049525
"61",6.234777781,2.00271606445e-05,0.00126373767853,0.000143468379974,0.014272332191485
"62",6.335091127,1.94907188416e-05,0.00126135349274,0.000128209590912,0.014090538024936
"63",6.435391047,1.89542770386e-05,0.00126165151596,0.00013941526413,0.014200210571286
"64",6.535700357,1.96099281311e-05,0.00126093626022,0.000129640102386,0.014101862907371
"65",6.636013774,2.7596950531e-05,0.00126922130585,0.000134289264679,0.0143110752106
"66",6.736285217,2.31862068176e-05,0.00126194953918,0.00014591217041,0.014310479164076
"67",6.836528853,0.000280678272247,0.00152009725571,0.000649690628052,0.02450466156009
"68",6.936809493,2.31266021729e-05,0.00126314163208,0.000153183937073,0.014394521713259
"69",7.037079676,1.5914440155e-05,0.00127047300339,0.000135838985443,0.01422226428988
"70",7.13734934,2.13384628296e-05,0.00126075744629,0.000121176242828,0.014032721519476
