time elapsed,timestamp,S0.iMC0.MEM_BW_TOTAL,S0.iMC1.MEM_BW_TOTAL,S0.iMC2.MEM_BW_TOTAL,totalmembw
83,8.43825065,0.001265347,1.75E-05,0.000118494,0.014013052
84,8.538678465,0.001265168,1.70E-05,0.000140786,0.014230013
85,8.639159252,0.001266539,1.54E-05,0.000128269,0.014101863
86,8.739707076,0.00045979,6.97E-06,0.000105679,0.00572443
87,8.84025773,4.07E-05,3.70E-06,0.000112236,0.00156641
88,8.940807302,4.62E-05,3.52E-06,0.000113189,0.001628995
89,9.041374015,4.04E-05,3.22E-06,0.000115395,0.001590252
90,9.141870916,3.45E-05,3.58E-06,0.00011462,0.001526475
91,9.242460401,0.000435889,9.42E-06,0.00011009,0.005553961
92,9.343010364,3.79E-05,4.53E-06,0.000130296,0.001727343
93,9.4435085,2.93E-05,5.42E-06,0.000111938,0.001466274
94,9.543945166,0.001268327,1.54E-05,0.000136733,0.014204383
95,9.644398574,0.001267254,1.70E-05,0.000119567,0.014038682
96,9.744832604,0.001265943,1.79E-05,0.000120282,0.014041066
97,9.845274602,0.001265883,1.78E-05,0.000141144,0.014247894
98,9.945705965,0.001266181,1.73E-05,0.000112295,0.013958216
99,10.04613581,0.001265645,1.55E-05,0.000138581,0.01419723
100,10.14669696,0.00126636,1.56E-05,0.000117183,0.013990998
101,10.2471962,0.000128627,4.95E-06,0.000112414,0.002459884
102,10.34762838,0.001267433,1.56E-05,0.000146151,0.014292002
103,10.448062,0.001265824,2.29E-05,0.000114679,0.014033914
104,10.54849265,0.001265287,1.54E-05,0.000148356,0.014290214
105,10.64899317,0.001267612,1.72E-05,0.000126541,0.014113188
106,10.74954482,0.00053525,9.18E-06,0.000110805,0.006552339
107,10.85000682,5.54E-05,3.64E-06,0.000125408,0.001844764
108,10.95042367,0.00132066,6.68E-05,0.000225604,0.016130805
109,11.05068259,0.001337171,8.68E-05,0.000408947,0.018329024
110,11.1509214,0.001266658,1.91E-05,0.000130177,0.014159083
111,11.25115368,0.00126332,1.84E-05,0.000132203,0.014138818
112,11.3513705,0.001263201,1.81E-05,0.000131786,0.014130473
113,11.45158866,0.001263738,1.76E-05,0.000112414,0.01393795
114,11.55180901,0.001263857,1.82E-05,0.000140965,0.014230013
115,11.65204802,0.001263201,1.79E-05,0.000125408,0.014064908
116,11.75229968,0.001264274,1.79E-05,0.000138342,0.014204979
117,11.85257496,0.001596212,0.000350356,0.000758827,0.027053952
118,11.9528255,0.001273751,2.34E-05,0.000153184,0.014503002
119,12.0530819,0.001270413,2.20E-05,0.000153065,0.014454722
120,12.15332987,0.001263976,1.63E-05,0.000128448,0.014086962
121,12.25356619,0.001266897,1.57E-05,0.000138342,0.014209747
122,12.35381749,0.001264751,1.54E-05,0.000123799,0.014039874
123,12.4540483,0.001260936,2.38E-05,0.00012368,0.014084578
124,12.55429736,0.001263976,1.64E-05,0.000145912,0.014262795
125,12.65452852,0.001266599,1.66E-05,0.000116944,0.014001727
126,12.75476831,0.001265883,1.58E-05,0.000133336,0.014150143
127,12.85502895,0.00217849,0.000930727,0.001778424,0.048876405
128,12.95527954,0.001349986,0.00010097,0.000287831,0.017387867
129,13.05552569,0.001278758,3.09E-05,0.000169992,0.014796853
130,13.15577955,0.001272023,2.47E-05,0.000130832,0.014275908
131,13.25603215,0.001272798,2.51E-05,0.000168383,0.014662743
132,13.35628007,0.001266003,1.87E-05,0.000126123,0.014107823
133,13.45652398,0.001266837,2.10E-05,0.000125349,0.014131665
134,13.55677664,0.001268983,2.32E-05,0.000157595,0.014498234
135,13.65702373,0.001270115,2.43E-05,0.000144362,0.014387965
136,13.75728262,0.001269042,2.07E-05,0.000151515,0.014412403
137,13.85752973,0.00375092,0.002502561,0.003079057,0.093325377
138,13.95776745,0.001306236,5.51E-05,0.000213087,0.015744567
139,14.05801009,0.001270533,2.23E-05,0.000148535,0.014413595
140,14.15825614,0.001283526,3.33E-05,0.000154376,0.014711618
141,14.25850527,0.001280606,3.12E-05,0.000193477,0.015053153
142,14.35874669,0.001292467,4.15E-05,0.000199258,0.015332103
143,14.45898242,0.00126797,2.21E-05,0.00013572,0.014258027
144,14.55921949,0.001263142,2.59E-05,0.000150323,0.014393926
145,14.65945619,0.001267493,1.82E-05,0.000124395,0.014101267
146,14.75971156,0.001277328,2.66E-05,0.00015825,0.014621615
147,14.85996883,0.003960669,0.002712727,0.003387451,0.100608468
148,14.96022179,0.001309514,6.25E-05,0.000205576,0.015775561
149,15.06047446,0.001274288,2.87E-05,0.000166297,0.014692545
150,15.16073213,0.001269221,2.36E-05,0.000131905,0.014247298
151,15.26098716,0.001271486,2.13E-05,0.000156701,0.014495254
152,15.36123889,0.001268327,2.04E-05,0.00014025,0.014289618
153,15.46149025,0.001267135,1.85E-05,0.000130296,0.014159679
154,15.56174882,0.001299977,5.90E-05,0.00022155,0.015805364
155,15.66200128,0.001274168,2.59E-05,0.000140429,0.014405251
156,15.76227008,0.001271188,2.31E-05,0.000158668,0.014529824
157,15.86254336,0.009248018,0.008010268,0.009672582,0.269308686
158,15.96279782,0.001590908,0.000332832,0.000777245,0.027009845
159,16.06304289,0.001294732,4.20E-05,0.000187993,0.015247464
160,16.1633063,0.001503527,0.00025171,0.000653207,0.024084449
161,16.26355204,0.00129354,4.55E-05,0.000236511,0.015755296
162,16.36380021,0.001274943,2.62E-05,0.000138879,0.014399886
163,16.46404241,0.001274288,2.93E-05,0.000148714,0.014522672
164,16.56429482,0.001268864,2.88E-05,0.000150919,0.014486313
165,16.66453843,0.001288414,3.95E-05,0.000171423,0.014992952
166,16.76479314,0.00127393,2.87E-05,0.000160515,0.014631152
167,16.86503996,0.004382968,0.003146887,0.00415051,0.116803646
168,16.96528097,0.001298666,5.48E-05,0.000210226,0.015637279
169,17.06551951,0.001268566,2.15E-05,0.0001387,0.014287829
170,17.16575947,0.001266122,1.84E-05,0.000127792,0.014122725
171,17.26599864,0.001266837,2.06E-05,0.000154316,0.014417171
172,17.3662444,0.001268148,1.94E-05,0.000128925,0.014164448
173,17.46648523,0.001267612,1.96E-05,0.000144899,0.014321208
174,17.56672723,0.001266479,2.56E-05,0.000122666,0.014147758
175,17.66697105,0.001277566,2.97E-05,0.000153959,0.014612079
176,17.76723427,0.001268744,2.11E-05,0.00014782,0.01437664
177,17.86749805,0.006404996,0.005144358,0.006404161,0.179535151
178,17.96774945,0.001426101,0.000172734,0.000459373,0.02058208
179,18.06799666,0.001290977,4.07E-05,0.00018543,0.015170574
180,18.16823727,0.001300275,5.02E-05,0.000194073,0.015445352
181,18.26848024,0.00130409,5.48E-05,0.000255525,0.016143918
182,18.36872033,0.001280844,3.80E-05,0.00017494,0.014938116
183,18.46896146,0.001272559,2.68E-05,0.000154138,0.014534593
184,18.5692033,0.001272619,2.57E-05,0.000150383,0.014487505
185,18.66944879,0.001275778,2.81E-05,0.000149667,0.014535189
186,18.76970074,0.001271546,2.55E-05,0.000156701,0.014536977
187,18.86994435,0.004074633,0.002839804,0.003445268,0.103597045
188,18.97018394,0.001282513,3.65E-05,0.000189245,0.015082359
189,19.07048093,0.001270533,2.15E-05,0.000125647,0.014176965
190,19.17072575,0.001284182,3.62E-05,0.000180423,0.015007854
191,19.27098239,0.001306474,5.78E-05,0.000205934,0.015701652
192,19.37122959,0.00127846,3.00E-05,0.000165403,0.014739037
193,19.47146967,0.001272321,2.25E-05,0.000156581,0.014513731
194,19.57171051,0.00127548,2.56E-05,0.000146985,0.014480948
195,19.67196574,0.001264334,2.85E-05,0.000130534,0.014233589
196,19.77224918,0.002004325,0.000764191,0.002040923,0.048094392
197,19.87253045,0.008720219,0.007478535,0.009467423,0.256661773
198,19.97278271,0.00157392,0.000324667,0.000773191,0.026717782
199,20.0730278,0.001296937,4.88E-05,0.000204921,0.015506744
200,20.17328052,0.001282394,3.31E-05,0.000152111,0.014676452
201,20.27353087,0.001299798,5.22E-05,0.00024581,0.015978217
202,20.37377536,0.001285672,4.12E-05,0.000164151,0.014910102
203,20.47402024,0.001280546,3.33E-05,0.000169635,0.014835
204,20.57422731,0.001291096,4.14E-05,0.000195146,0.01527667
205,20.67447485,0.001298904,5.50E-05,0.000183702,0.015375614
206,20.77472392,0.001281202,3.42E-05,0.000178993,0.014944077
207,20.87500686,0.008822262,0.007581055,0.008262694,0.246660113
208,20.97528382,0.008240402,0.007054925,0.007219017,0.225143433
209,21.07555808,0.008237898,0.007031858,0.007165551,0.224353075
210,21.1758279,0.008235931,0.007041872,0.007157147,0.224349499
211,21.27610749,0.008228302,0.007005215,0.007126451,0.223599672
212,21.37638099,0.00823319,0.007027268,0.007127345,0.223878026
213,21.47665177,0.008246481,0.007043779,0.007153034,0.224432945
214,21.57693083,0.008218646,0.007027268,0.007148087,0.223940015
215,21.67720954,0.00820601,0.007029712,0.007134199,0.223699212
216,21.77748651,0.008241773,0.007033944,0.007147849,0.224235654
217,21.87775838,0.00824523,0.007059097,0.007172287,0.224766135
218,21.97802817,0.008224905,0.007012546,0.007149458,0.223869085
219,22.07831331,0.008206904,0.007011116,0.007116795,0.223348141
220,22.17858871,0.00824362,0.007043004,0.007171452,0.224580765
221,22.2788598,0.008230746,0.007038713,0.007190287,0.224597454
222,22.37913582,0.008240879,0.0070135,0.007137299,0.223916769
223,22.47940979,0.00822562,0.00702852,0.007148862,0.224030018
224,22.5796827,0.008196652,0.007015646,0.007124245,0.223365426
225,22.67995278,0.00878644,0.007607698,0.008445978,0.248401165
226,22.78022902,0.008269727,0.007058203,0.007344484,0.226724148
227,22.88050099,0.008245766,0.007046402,0.007263422,0.225555897
228,22.98077442,0.008215547,0.007026374,0.00715363,0.223955512
229,23.08105008,0.008231521,0.007051408,0.007122457,0.22405386
230,23.18132715,0.00823766,0.007034123,0.007146001,0.224177837
231,23.28160285,0.008233011,0.007036805,0.007138431,0.22408247
232,23.38186678,0.008227646,0.007047117,0.007108748,0.223835111
233,23.48214029,0.00820452,0.007015109,0.007150948,0.223705769
234,23.58242889,0.00824964,0.007036626,0.007126033,0.224123001
235,23.68270482,0.00823158,0.007030427,0.007168531,0.224305391
236,23.78296959,0.008237422,0.007039249,0.007133186,0.224098563
237,23.88324205,0.008234143,0.007030249,0.007139862,0.224042535
238,23.98351686,0.00823468,0.007033825,0.00716126,0.224297643
239,24.08379439,0.008233786,0.007023335,0.00712353,0.2238065
240,24.1840709,0.008232892,0.007018685,0.007154822,0.224063993
241,24.28434283,0.00823921,0.007034898,0.007108271,0.223823786
242,24.38461871,0.008225203,0.007022798,0.007162571,0.224105716
243,24.48489466,0.008209109,0.007018924,0.007151723,0.22379756
244,24.5851733,0.008250833,0.007023931,0.007133067,0.224078298
245,24.68545017,0.008225739,0.007017732,0.007144749,0.223882198
246,24.78572275,0.008217037,0.00705725,0.00713408,0.224083662
247,24.88599911,0.008239508,0.007051408,0.007114828,0.224057436
248,24.98627778,0.008226156,0.0070315,0.007151604,0.224092603
249,25.0865522,0.008244812,0.007021546,0.007105589,0.223719478
250,25.18683092,0.008222997,0.00702703,0.007142425,0.223924518
251,25.28710152,0.008226514,0.007036567,0.007118762,0.223818421
252,25.3873745,0.008234799,0.007032275,0.007136345,0.22403419
253,25.48764905,0.008248925,0.007050931,0.007186651,0.224865079
254,25.58792349,0.008241177,0.007048547,0.007163346,0.224530697
255,25.68819466,0.008232117,0.007035017,0.00714606,0.224131942
256,25.78847008,0.008229971,0.007031679,0.007137537,0.223991871
257,25.88873937,0.008230448,0.007031977,0.007153094,0.224155188
258,25.98901529,0.008221149,0.00700742,0.007113099,0.223416686
259,26.08928662,0.008229434,0.007035375,0.007126749,0.223915577
260,26.18956332,0.008219838,0.007042825,0.007145464,0.224081278
261,26.28983831,0.008253932,0.007045388,0.007136762,0.224360824
262,26.39011382,0.00824517,0.007044673,0.007157564,0.224474072
263,26.49039896,0.008224308,0.007024527,0.00714469,0.223935246
264,26.59067276,0.008248508,0.007048726,0.007132649,0.224298835
265,26.69095227,0.008235991,0.007032096,0.007144332,0.224124193
266,26.7912279,0.00824362,0.007053614,0.007130504,0.224277377
267,26.89149389,0.00840354,0.007219315,0.007719576,0.233424306
268,26.99176737,0.008226097,0.007043242,0.007156789,0.224261284
269,27.09204508,0.00823921,0.007032275,0.007132471,0.224039555
270,27.1923201,0.00823456,0.007039964,0.007156789,0.22431314
271,27.2925988,0.008236647,0.007048488,0.007141113,0.224262476
272,27.3928724,0.008233011,0.007044077,0.007158041,0.224351287
273,27.49314626,0.00823772,0.007037103,0.007145822,0.224206448
274,27.59342119,0.008222699,0.007063568,0.007151186,0.224374533
275,27.69369208,0.008226752,0.007029057,0.007129073,0.22384882
276,27.79396142,0.008232951,0.007036388,0.007125378,0.223947167
277,27.89422228,0.008221507,0.007028341,0.007129788,0.223796368
278,27.99449482,0.008222044,0.007039607,0.007153332,0.224149823
279,28.09476948,0.008225322,0.007036805,0.007129371,0.223914981
280,28.19504427,0.008223295,0.007032692,0.007157743,0.224137306
281,28.29532012,0.008224547,0.007025898,0.007135093,0.223855376
282,28.39559415,0.008225799,0.007037818,0.007171571,0.224351883
283,28.49586901,0.00823307,0.007041216,0.007142663,0.224169493
284,28.59614392,0.008228362,0.007031858,0.007136226,0.223964453
285,28.6964141,0.008242071,0.007022679,0.00712955,0.223942995
286,28.79668784,0.008220017,0.007006109,0.007116258,0.223423839
287,28.89696126,0.008228779,0.007038713,0.007140458,0.22407949
288,28.99723371,0.008225441,0.007024586,0.007121325,0.223713517
289,29.09750415,0.008240163,0.007030547,0.007100523,0.223712325
290,29.19777269,0.008205652,0.007024407,0.007139027,0.223690867
291,29.29804368,0.00823319,0.007039845,0.007119656,0.223926902
292,29.39833007,0.008235157,0.0070346,0.007152259,0.224220157
293,29.49860044,0.008234918,0.007028222,0.007124126,0.223872662
294,29.59887588,0.008229315,0.00704968,0.007152438,0.224314332
295,29.69914387,0.008219302,0.007033825,0.007157028,0.224101543
296,29.79941433,0.008219123,0.00703752,0.00711894,0.223755836
297,29.89968525,0.008206189,0.007040024,0.007143795,0.22390008
298,29.99996209,0.008231699,0.007032573,0.007127345,0.223916173
299,30.10023604,0.008232951,0.007041812,0.007140458,0.224152207
300,30.20050494,0.008219719,0.00703454,0.007151663,0.224059224
301,30.30077946,0.008233726,0.007023573,0.007115185,0.223724842
302,30.40105273,0.008221686,0.007044554,0.007153153,0.224193931
303,30.50132334,0.008208573,0.007013321,0.007148206,0.223701
304,30.60159554,0.008222818,0.007016778,0.007146418,0.223860145
305,30.70186973,0.008215725,0.007040918,0.007130563,0.223872066
306,30.80214302,0.008248091,0.007062197,0.007128,0.224382877
307,30.90242751,0.008239627,0.007061839,0.00716573,0.22467196
308,31.00270167,0.008227944,0.007034779,0.007132769,0.223954916
309,31.10297812,0.008234024,0.007023156,0.00715673,0.224139094
310,31.20325253,0.008224368,0.007039785,0.007121563,0.223857164
311,31.30352732,0.008234143,0.007042646,0.007158816,0.224356055
312,31.40380109,0.008236527,0.007027328,0.007135928,0.223997831
313,31.50407261,0.008240342,0.007006049,0.007128835,0.22375226
314,31.60434616,0.008218288,0.00704366,0.007158935,0.224208832
315,31.70462269,0.008221626,0.007038295,0.007149637,0.224095583
316,31.80489488,0.008241355,0.0070467,0.007140756,0.224288106
317,31.90516968,0.008234203,0.00705272,0.00714314,0.224300623
318,32.00544392,0.008218825,0.007029057,0.007124662,0.223725438
319,32.1057191,0.00823319,0.007027686,0.007166684,0.224275589
320,32.20599093,0.00823307,0.007033169,0.007128239,0.223944783
321,32.30622136,0.008236408,0.00703299,0.007136106,0.224055052
322,32.40649738,0.008236468,0.007043362,0.007164121,0.224439502
323,32.5067706,0.008240581,0.007024348,0.007124484,0.223894119
324,32.60704722,0.00820893,0.007019103,0.007158279,0.223863125
325,32.70732275,0.008238733,0.007025957,0.007111967,0.223766565
326,32.80759796,0.008244932,0.007057786,0.00713855,0.22441268
327,32.90786572,0.008242011,0.007039368,0.007150173,0.224315524
328,33.00813749,0.008219838,0.007012963,0.007124722,0.223575234
329,33.10840687,0.008244395,0.007033944,0.007154822,0.224331617
330,33.20868069,0.008196414,0.007029057,0.007119477,0.223449469
331,33.30895506,0.008223712,0.007024884,0.007124484,0.223730803
332,33.40923049,0.008214533,0.007018328,0.007141829,0.223746896
333,33.50950343,0.008243263,0.007019281,0.007139325,0.224018693
334,33.60977442,0.008231461,0.007041037,0.007152259,0.224247575
335,33.71004974,0.008195877,0.007000804,0.007124901,0.223215818
336,33.81033529,0.008232415,0.007048845,0.007147729,0.224289894
337,33.91060163,0.008222282,0.007031739,0.007151842,0.224058628
338,34.01087651,0.008213699,0.007003009,0.007109582,0.223262906
339,34.11115212,0.008238971,0.007040381,0.00712049,0.223998427
340,34.21142517,0.008219182,0.007023454,0.007122457,0.223650932
341,34.31169742,0.008229613,0.007030487,0.007128298,0.223883986
342,34.41197359,0.008237004,0.007014334,0.00715363,0.224049687
343,34.51224622,0.008238256,0.007037103,0.00712198,0.223973393
344,34.61252584,0.008214593,0.007040262,0.007147729,0.224025846
345,34.71280166,0.008227527,0.007041335,0.007121801,0.223906636
346,34.81307791,0.008244097,0.007035255,0.007147014,0.224263668
347,34.91335244,0.008222878,0.007045507,0.007151425,0.224198103
348,35.01362411,0.008227944,0.007024169,0.007127285,0.223793983
349,35.11389822,0.00822109,0.007028282,0.007131755,0.223811269
350,35.21417103,0.008236945,0.007038236,0.00713861,0.224137902
351,35.31445204,0.008219898,0.0070346,0.007160664,0.224151611
352,35.41472654,0.0082075,0.007012367,0.007152319,0.223721862
353,35.51499935,0.008244574,0.00702548,0.007142842,0.224128962
354,35.61527711,0.008229136,0.007032812,0.007160187,0.224221349
355,35.71555423,0.008227646,0.007038474,0.007135272,0.224013925
356,35.81595327,0.008235931,0.007034481,0.007158518,0.224289298
357,35.91622084,0.002664745,0.001420498,0.003753185,0.07838428
358,36.01647239,0.001283765,4.56E-05,0.00016886,0.014982224
359,36.11678602,0.001271486,2.18E-05,0.000157475,0.014507771
360,36.21729487,0.001271307,2.07E-05,0.000131428,0.014234781
361,36.31780367,0.001269639,1.96E-05,0.000139177,0.014284253
362,36.4183376,0.001268446,2.05E-05,0.000126958,0.014159083
363,36.51884448,0.001269162,1.96E-05,0.000128806,0.014175177
364,36.61942094,0.001268208,1.82E-05,0.000133395,0.014198422
365,36.71998971,0.000707567,1.08E-05,0.000124812,0.008432269
366,36.82049728,3.89E-05,4.59E-06,0.000124872,0.001683235
367,36.92103699,0.001312912,6.32E-05,0.000234663,0.016107559
368,37.02154278,0.001269341,2.42E-05,0.000123858,0.014173985
369,37.12205624,0.001267076,1.60E-05,0.000138879,0.01421988
