"","timestamp","S0.iMC0.MEM_BW_TOTAL","S0.iMC1.MEM_BW_TOTAL","S0.iMC2.MEM_BW_TOTAL","totalmembw"
"1",0.200798387,90.5603637695,90.5875244141,104.012268066,2851.601562496
"2",0.301184349,182.651550293,182.659423828,202.362609863,5676.73583984
"3",0.401554728,267.465515137,267.48828125,293.946838379,8289.00634766
"4",0.502014591,28.4128417969,28.3956298828,776.789611816,8335.980834957
"5",0.602464448,1.27978515625,1.27288818359,943.039550781,9455.9222412084
"6",0.702897305,1.32739257812,1.31896972656,941.688659668,9443.3502197268
"7",0.803282295,90.4473266602,90.469909668,786.972595215,9678.898315432
"8",0.903681203,223.729675293,223.719665527,536.310546875,9837.59887695
"9",1.004032753,91.8135986328,91.7888183594,160.114624023,3437.170410152
"10",1.104333448,0.172058105469,0.167663574219,1.88079833984,22.20520019528
"11",1.204610394,0.0357666015625,0.031494140625,1.50384521484,15.711059570275
"12",1.304883395,0.03173828125,0.026123046875,1.46063232422,15.18493652345
"13",1.405153082,0.025634765625,0.0221557617188,1.41052246094,14.583129882838
"14",1.505458238,0.023681640625,0.0225219726562,1.42541503906,14.716186523412
"15",1.605759504,0.188171386719,0.188537597656,2.63922119141,30.15930175785
"16",1.70605791,0.0225219726562,0.022216796875,1.42071533203,14.654541015612
"17",1.806335594,0.0222778320312,0.019287109375,1.43109130859,14.726562499962
"18",1.906607541,0.359130859375,0.358703613281,2.07611083984,27.93945312496
"19",2.006875607,0.0302734375,0.0279541015625,1.43817138672,14.963989257825
"20",2.10714199,0.0298461914062,0.0278930664062,1.53302001953,15.907592773424
"21",2.207407184,0.028564453125,0.0233154296875,1.45281982422,15.046997070325
"22",2.307678522,0.0240478515625,0.021484375,1.44317626953,14.887084960925
"23",2.408005474,0.021728515625,0.017578125,1.40844726562,14.47753906245
"24",2.508270735,0.0247802734375,0.0219116210938,1.42224121094,14.689331054713
"25",2.608550543,0.0250854492188,0.0184326171875,1.44537353516,14.888916015663
"26",2.708822508,0.0247802734375,0.0186157226562,1.42126464844,14.646606445337
"27",2.809111513,0.0231323242188,0.018310546875,1.41314697266,14.545898437538
"28",2.909370438,3.63452148438,3.64892578125,6.47814941406,137.6159667969
"29",3.009630946,0.187377929688,0.175964355469,1.69366455078,20.57006835937
"30",3.109891168,0.102905273438,0.0963134765625,1.70837402344,19.075927734405
"31",3.210145895,0.0433349609375,0.03662109375,1.45684814453,15.368041992175
"32",3.310400987,0.0408935546875,0.0411376953125,1.46258544922,15.4461669922
"33",3.410660065,0.024169921875,0.0223999023438,1.40893554688,14.555053710988
"34",3.510921377,0.0382080078125,0.03759765625,1.43518066406,15.109863281225
"35",3.611186225,0.0261840820312,0.0242919921875,1.43182373047,14.822998046887
"36",3.711450153,0.0261840820312,0.0208740234375,1.41540527344,14.624633789087
"37",3.811716257,0.0249633789062,0.023681640625,1.43103027344,14.796752929712
"38",3.912010666,2.85894775391,2.86547851562,4.71051025391,104.3493652344
"39",4.012291085,0.0299072265625,0.0279541015625,1.41986083984,14.77722167965
"40",4.112577986,0.0305786132812,0.0277099609375,1.44506835938,15.033569335987
"41",4.212861554,0.02587890625,0.0232543945312,1.41943359375,14.685668945312
"42",4.313140963,0.0255737304688,0.0214233398438,1.43658447266,14.835815429726
"43",4.413424353,0.022216796875,0.0171508789062,1.40008544922,14.394531250012
"44",4.51370238,0.050048828125,0.0444946289062,1.45025634766,15.447998046912
"45",4.613987634,0.0263671875,0.021728515625,1.42578125,14.73876953125
"46",4.714265407,0.038330078125,0.0317993164062,1.42529296875,14.954223632812
"47",4.814553234,0.0256958007812,0.0243530273438,1.42346191406,14.73510742185
"48",4.914855254,2.96063232422,2.96472167969,4.95629882812,108.8165283203
"49",5.015128586,0.0618286132812,0.0606079101562,1.46966552734,15.921020507774
"50",5.115393649,0.0303344726562,0.0267944335938,1.44866943359,15.0579833984
"51",5.215659338,0.0310668945312,0.0274047851562,1.43634033203,14.948120117174
"52",5.315899816,0.0294799804688,0.02783203125,1.43988037109,14.971923828088
"53",5.416175044,0.0284423828125,0.0267944335938,1.41876220703,14.739990234363
"54",5.516442085,0.0237426757812,0.0216064453125,1.41259765625,14.579467773437
"55",5.616708824,0.0225219726562,0.0197143554688,1.435546875,14.77783203125
"56",5.716977249,0.0250244140625,0.0208740234375,1.41369628906,14.5959472656
"57",5.817250037,0.0236206054688,0.0215454101562,1.42407226562,14.69238281245
"58",5.917499994,2.83648681641,2.82574462891,4.72003173828,103.822631836
"59",6.017762147,0.0431518554688,0.0457153320312,1.46276855469,15.5163574219
"60",6.118006256,0.0669555664062,0.06201171875,1.57305908203,17.020263671862
"61",6.218251756,0.0379028320312,0.0336303710938,1.45440673828,15.25939941405
"62",6.318498833,0.0418090820312,0.0360717773438,1.46722412109,15.45104980465
"63",6.418743378,0.024169921875,0.0188598632812,1.39544677734,14.384765624962
"64",6.518992892,0.0408935546875,0.0346069335938,1.46697998047,15.424804687513
"65",6.619240857,0.0340576171875,0.0299072265625,1.45910644531,15.2307128906
"66",6.719485568,0.0286865234375,0.0274658203125,1.42608642578,14.8223876953
"67",6.819743789,0.0213012695312,0.0216064453125,1.41516113281,14.580688476537
"68",6.92000788,2.87561035156,2.88793945312,4.72283935547,104.8638916015
"69",7.020252864,0.0513305664062,0.05126953125,1.48992919922,15.925292968762
"70",7.120496535,0.0250244140625,0.0230712890625,1.40893554688,14.57031250005
"71",7.220749581,0.259216308594,0.253051757812,2.05041503906,25.62683105466
"72",7.321001762,0.04052734375,0.0388793945312,1.47229003906,15.516967773412
