"","timestamp","S0.iMC0.MEM_BW_TOTAL","S0.iMC1.MEM_BW_TOTAL","S0.iMC2.MEM_BW_TOTAL","totalmembw"
"1",0.201002117,0.0926111340523,0.0926508307457,0.105629742146,2.90891706944
"2",0.301520614,0.170316874981,0.17031031847,0.188079953194,5.28707146645
"3",0.401936681,0.252387404442,0.252399504185,0.277134954929,7.81921863556
"4",0.50237233,0.298035800457,0.298073589802,0.303925335407,9.00034725666
"5",0.602844168,0.0352451205254,0.0352121591568,0.868569672108,9.390269517902
"6",0.703353974,0.00124353170395,0.00123482942581,0.920279026031,9.2275738716076
"7",0.8038377,0.00130879878998,0.00131368637085,0.924317121506,9.2693960666683
"8",0.904278016,0.0134158730507,0.0134416818619,0.887404561043,9.142621159556
"9",1.004626062,0.0896393060684,0.0896108746529,0.155710637569,3.349608182903
"10",1.104962853,0.000169038772583,0.000163376331329,0.00183027982712,0.02162694931032
"11",1.205492929,2.84314155579e-05,2.65836715698e-05,0.000928819179535,0.009838342666627
"12",1.305991153,9.86456871033e-05,9.85860824585e-05,0.00182002782822,0.020172595977818
"13",1.406494412,3.29613685608e-05,3.24249267578e-05,0.00140875577927,0.014741420745886
"14",1.506995811,2.13384628296e-05,2.05039978027e-05,0.00141930580139,0.014611482620223
"15",1.607516837,2.27093696594e-05,1.90138816833e-05,0.00138175487518,0.014234781265227
"16",1.708073372,2.03251838684e-05,1.75833702087e-05,0.00138378143311,0.014216899871871
"17",1.808586861,1.37686729431e-05,1.12652778625e-05,0.000654816627502,0.006798505783076
"18",1.909095244,2.40206718445e-05,1.74641609192e-05,0.00138032436371,0.014218091964737
"19",2.009642619,2.42590904236e-05,1.97291374207e-05,0.00141096115112,0.014549493789643
"20",2.110208664,2.521276474e-05,1.90138816833e-05,0.00140011310577,0.014443397521933
"21",2.210764757,1.28746032715e-05,1.10268592834e-05,0.000752389431,0.007762908935549
"22",2.311275292,1.30534172058e-05,1.31130218506e-05,0.000650227069855,0.006763935089114
"23",2.411777671,1.8298625946e-05,2.08020210266e-05,0.00136816501617,0.014072656631426
"24",2.512281021,2.15172767639e-05,1.62720680237e-05,0.0013855099678,0.014232993125876
"25",2.61279873,2.28881835938e-05,2.0444393158e-05,0.00137436389923,0.014176964759818
"26",2.713397312,1.94907188416e-05,1.8835067749e-05,0.00139260292053,0.014309287071206
"27",2.813906835,9.11951065063e-06,8.40425491333e-06,0.00020444393158,0.0022196769714396
"28",2.914412338,1.99675559998e-05,1.71661376953e-05,0.00135862827301,0.013957619667051
"29",3.014937792,1.94907188416e-05,1.5914440155e-05,0.00139200687408,0.014274120330766
"30",3.11547075,2.09212303162e-05,1.67489051819e-05,0.00137776136398,0.014154314994781
"31",3.215984143,1.14440917969e-05,9.77516174316e-06,0.000694870948792,0.0071609020233206
"32",3.316487179,2.20537185669e-05,1.68681144714e-05,0.00138574838638,0.014246702194183
"33",3.416988031,1.8835067749e-05,2.50339508057e-05,0.00136691331863,0.014107823371847
