timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
2.000462672,1011.3939209,1013.44750977,2843.9239502
3.000689200,38.3139038086,39.8078613281,1827.49621582
4.000907296,1.06927490234,1.40264892578,18.731628418
5.001120035,0.643798828125,0.3466796875,12.530456543
6.001337253,0.354614257812,0.223876953125,12.1682128906
7.001600675,0.30224609375,0.622863769531,12.767578125
8.001817233,0.617248535156,0.376708984375,11.4845581055
9.002035840,0.525939941406,0.352661132812,13.5455932617
10.002255029,0.286376953125,0.567260742188,12.5024414062
11.002469014,0.626037597656,0.414245605469,12.5424804688
12.002686088,0.404113769531,0.233642578125,12.6253051758
13.002945233,0.307678222656,0.536010742188,12.7363891602
14.003158188,0.590209960938,0.404846191406,11.81640625
15.003372968,0.428466796875,0.220642089844,12.7366943359
16.003585044,0.302307128906,0.512756347656,13.0859985352
17.003845841,0.585327148438,0.478942871094,12.8944702148
18.004071461,0.4423828125,0.247497558594,12.8455810547
19.004335730,0.343383789062,0.523986816406,12.3726806641
20.004552284,0.533935546875,0.444641113281,11.4030151367
21.004779614,0.495849609375,0.301513671875,13.0230712891
22.004991452,0.491271972656,0.609375,13.9525756836
23.005207560,0.556274414062,0.5087890625,12.3778076172
24.005408870,0.816284179688,0.580688476562,15.0175170898
25.005674744,0.334228515625,0.442260742188,12.4164428711
26.005872132,0.496765136719,0.494812011719,12.0474243164
27.006084948,0.502624511719,0.273681640625,13.0230102539
28.006302930,0.377319335938,0.420471191406,13.1866455078
29.006504484,0.57666015625,0.622497558594,13.4883422852
30.006728827,0.54296875,0.303405761719,12.7513427734
31.006936945,0.368408203125,0.393188476562,12.8815917969
32.007186239,0.376647949219,0.475341796875,11.6376342773
33.007398675,0.567138671875,0.316955566406,12.7795410156
34.007597700,0.385009765625,0.367980957031,13.2165527344
35.007834000,0.3818359375,0.533447265625,12.6130371094
36.008054109,0.597778320312,0.327758789062,12.5590820312
37.008254525,0.388671875,0.337585449219,12.9014282227
38.008516714,0.346374511719,0.524719238281,11.8795776367
39.008727870,0.599426269531,0.317749023438,12.7036132812
40.008946542,0.3984375,0.33056640625,12.4665527344
41.009164369,0.352783203125,0.575561523438,12.6575317383
42.009365428,0.603088378906,0.335083007812,12.1304321289
43.009577110,0.419372558594,0.333190917969,12.4465942383
44.009827790,0.312194824219,0.571960449219,11.7174072266
45.010029206,0.628051757812,0.359680175781,12.8919677734
46.010241121,0.400024414062,0.238403320312,13.23046875
47.010453718,0.298706054688,0.609741210938,12.4240112305
48.010670211,0.634582519531,0.369567871094,12.6787719727
49.010878669,0.432373046875,0.258361816406,13.0147705078
50.011170182,0.308898925781,0.585754394531,11.4693603516
51.011376872,0.635803222656,0.398803710938,12.3935546875
52.011582807,0.448791503906,0.268310546875,13.0046386719
53.011823024,0.30517578125,0.560363769531,12.5191040039
54.012025763,0.576354980469,0.402954101562,12.9298706055
