timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL,iMC3.MEM_BW_TOTAL
11.227115356,#NC,#NC,#NC,#NC
11.327355738,16.0473632812,#NC,#NC,#NC
11.427605056,5.26434326172,7.22998046875,5.41949462891,5.30853271484
11.527858515,#NC,#NC,#NC,#NC
11.628104970,0.046630859375,1.36297607422,0.0550537109375,0.0328979492188
11.728332309,#NC,#NC,#NC,#NC
11.828581204,0.0615844726562,1.35028076172,0.0504760742188,0.0795288085938
11.928810796,#NC,#NC,#NC,#NC
12.029058871,5.65679931641,7.5751953125,6.09680175781,6.04669189453
12.129284719,#NC,#NC,#NC,#NC
12.229539651,7.8173828125,9.72760009766,8.22491455078,8.02313232422
12.329775743,#NC,#NC,#NC,#NC
12.430021721,6.39465332031,8.41375732422,6.60882568359,6.44622802734
12.530250496,#NC,#NC,#NC,#NC
12.630504178,0.08642578125,1.33898925781,0.0359497070312,0.0390014648438
12.730729600,#NC,#NC,#NC,#NC
12.830978099,6.41284179688,8.490234375,6.98297119141,6.94274902344
12.931225354,#NC,#NC,#NC,#NC
13.031473222,6.76702880859,8.67272949219,7.310546875,7.21136474609
13.131710961,#NC,#NC,#NC,0.94873046875
13.231957900,#NC,#NC,#NC,#NC
13.332209558,0.162963867188,1.40502929688,0.0872192382812,0.1552734375
13.432439883,#NC,#NC,#NC,#NC
13.532685282,5.21484375,7.27941894531,5.86096191406,5.71881103516
13.632914147,#NC,#NC,#NC,#NC
13.733161493,0.109375,1.39019775391,0.156005859375,0.0971069335938
13.833386357,#NC,#NC,#NC,#NC
13.933637583,0.0374755859375,1.31292724609,0.0221557617188,0.074951171875
14.033864781,#NC,#NC,#NC,#NC
14.134110876,0.0825805664062,1.36419677734,0.0367431640625,0.0665283203125
14.234342871,#NC,#NC,#NC,#NC
14.334591426,2.15704345703,3.84344482422,2.52215576172,2.5888671875
14.434824221,#NC,#NC,#NC,#NC
14.535072966,0.0535278320312,1.33746337891,0.0367431640625,0.0787963867188
14.635305898,#NC,#NC,#NC,#NC
14.735556927,0.09326171875,1.31207275391,0.029052734375,0.0252685546875
14.835810219,#NC,#NC,#NC,#NC
14.936084198,6.29553222656,8.70001220703,6.93591308594,7.07391357422
15.036346737,8.32629394531,10.264831543,8.41937255859,8.34191894531
15.136578959,#NC,#NC,#NC,#NC
15.236829478,0.0336303710938,1.30834960938,0.0282592773438,0.0703735351562
15.337063889,#NC,#NC,#NC,#NC
15.437316635,1.09838867188,2.46929931641,1.15362548828,1.12603759766
15.537544153,#NC,#NC,#NC,#NC
15.637794222,5.17901611328,7.23065185547,5.7451171875,5.63507080078
15.738021460,#NC,#NC,#NC,#NC
15.838272902,7.48034667969,9.40972900391,7.96130371094,7.93762207031
15.938501990,#NC,#NC,#NC,#NC
16.038759995,4.62933349609,6.6943359375,5.41754150391,5.48657226562
16.138986627,#NC,#NC,#NC,#NC
16.239232653,5.66259765625,7.33624267578,5.81219482422,5.78942871094
16.339467671,#NC,#NC,#NC,#NC
16.439724426,5.17694091797,7.15203857422,5.93151855469,5.81964111328
16.539985272,#NC,#NC,#NC,#NC
16.640230427,0.0551147460938,1.32476806641,0.0252075195312,0.0611572265625
16.740489496,#NC,#NC,#NC,#NC
16.840738138,4.67333984375,6.14385986328,4.07354736328,3.39514160156
16.940989567,5.0009765625,6.92779541016,5.33782958984,5.25390625
17.041219856,#NC,#NC,#NC,#NC
17.141463294,0.0596313476562,1.34893798828,0.0955810546875,0.04052734375
17.241693136,#NC,#NC,#NC,#NC
17.341957427,4.42779541016,6.22918701172,4.87872314453,4.80694580078
17.442192296,#NC,#NC,#NC,#NC
17.542440291,0.0841064453125,1.33978271484,0.0359497070312,0.0313110351562
17.642665672,#NC,#NC,#NC,#NC
17.742916288,4.89776611328,6.74291992188,5.23815917969,4.94610595703
17.843160457,#NC,#NC,#NC,#NC
17.943412698,5.43267822266,7.40020751953,6.01495361328,5.9248046875
18.043638533,#NC,#NC,#NC,#NC
18.143892476,5.93737792969,7.89660644531,6.71820068359,6.99359130859
18.244125898,#NC,#NC,#NC,#NC
18.344374916,0.0558471679688,1.37719726562,0.052001953125,0.0390014648438
