timestamp,CBO.PCIE_DATA_BYTES
2.000355470,0.0
3.000553596,0.0
4.000795261,0.0
5.001022615,0.0
6.001272927,0.0
7.001505833,0.0
8.001760521,0.0
9.003008466,0.0
10.003233288,0.0
11.003462866,0.0
12.003691865,0.0
13.003915279,0.030517578125
14.004136238,0.0
15.004367033,0.0
16.004610271,0.0
17.004903379,99.2789916992
18.005195504,98.8583374023
19.005486147,98.6123657227
20.005980241,99.228515625
21.006275474,99.2620239258
22.006570341,99.350769043
23.006868030,99.6973876953
24.007155779,98.9511108398
25.007451544,99.5233764648
26.007746143,99.5021972656
27.008050158,99.8994140625
28.008342072,99.5703735352
29.008634261,99.4065551758
30.008929781,95.2357177734
31.009222377,98.8591918945
32.009513859,99.7150878906
33.009971865,99.1403808594
34.010271711,98.9285888672
35.010566349,95.8120117188
36.010859544,96.1082763672
37.011149371,99.4124755859
38.011434217,98.8932495117
39.011734128,99.2473754883
40.012045215,98.8223266602
41.012329827,98.7178955078
42.012619023,98.5963134766
43.012908867,99.9079589844
44.013204243,99.2583007812
45.013496293,99.8869628906
46.013976694,99.8321533203
47.014269248,99.6405639648
48.014563067,99.470703125
49.014856256,98.9185180664
50.015148368,99.7502441406
51.015443869,98.7448730469
52.015735105,100.180114746
53.016038937,99.2656860352
54.016324706,99.5884399414
55.016616819,98.7699584961
56.016907179,100.017822266
57.017201116,99.2287597656
58.017491359,99.3838500977
59.017969223,99.9186401367
60.018270904,99.4481201172
61.018562877,98.7944335938
62.018858805,98.827331543
63.019152244,99.5228271484
64.019442354,98.7446899414
65.019744245,99.5907592773
66.020053695,99.12109375
67.020343565,98.1916503906
68.020639691,95.2775268555
69.020936010,98.875793457
70.021233356,99.4206542969
71.021527613,99.5087280273
72.021975549,99.005065918
73.022263844,96.4520874023
74.022553739,99.751159668
75.022849360,98.9749755859
76.025381122,99.5645751953
77.026033020,98.0349731445
78.026542360,0.459594726562
79.027055511,0.473571777344
79.027055511,0.465515136719
