timestamp,CBO.PCIE_DATA_BYTES
2.000352538,#NC#NC#NC#NC#NC#NC#NC#NC
3.000591612,0.0
4.000808159,0.0
5.001058860,0.0
6.001278910,0.0
7.001530974,0.0
8.001742693,#NC#NC#NC#NC#NC#NC#NC#NC
9.002353812,0.0152587890625
10.002605907,0.0
11.002860576,0.0
12.003112822,1.31048583984
13.003381912,0.030517578125
14.003650283,#NC#NC#NC#NC#NC#NC#NC#NC
15.003905384,0.0
16.004154254,0.0
17.004408766,0.0
18.004647276,57.9426879883
19.004884291,58.2622680664
20.005099888,#NC#NC#NC#NC#NC#NC#NC#NC
21.005333985,58.2620239258
22.005573686,57.8521118164
23.005803198,58.2341308594
24.006032086,57.4984130859
25.006257697,58.1458740234
26.006469458,#NC#NC#NC#NC#NC#NC#NC#NC
27.006694242,58.0526123047
28.006915734,58.1770629883
29.007141030,58.1995239258
30.007483875,58.2640991211
31.007710887,57.9168701172
32.007940285,58.1731567383
33.008150821,#NC#NC#NC#NC#NC#NC#NC#NC
34.008379888,58.2355957031
35.008615296,58.2215576172
36.008848259,58.2250976562
37.009079984,58.1890869141
38.009305122,58.3176879883
39.009522231,#NC#NC#NC#NC#NC#NC#NC#NC
40.009754272,58.1091308594
41.009985913,58.2573852539
42.010215688,58.1010742188
43.010440009,58.0711669922
44.010668164,58.2434692383
45.010873840,#NC#NC#NC#NC#NC#NC#NC#NC
46.011096487,58.242980957
47.011334202,58.2078857422
48.011578973,58.1541748047
49.011807656,59.4428100586
50.012034622,58.1931152344
51.012242274,#NC#NC#NC#NC#NC#NC#NC#NC
52.012474134,58.1140136719
53.012700200,58.1822509766
54.012924402,57.7734985352
55.013145986,58.1748046875
56.013379958,57.7279052734
57.013601700,#NC#NC#NC#NC#NC#NC#NC#NC
58.013822647,58.0926513672
59.014046458,57.807800293
60.014271239,57.966796875
61.014501665,58.1030273438
62.014726369,58.1695556641
63.014955708,58.2124633789
64.015169076,#NC#NC#NC#NC#NC#NC#NC#NC
65.015483284,58.0393676758
66.015711642,58.1593017578
67.015941005,58.2670898438
68.016169882,58.2749633789
69.016404384,58.3353271484
70.016619433,#NC#NC#NC#NC#NC#NC#NC#NC
71.016843694,58.2477416992
72.017072869,58.2178955078
73.017296935,58.1086425781
74.017530465,58.1187133789
75.017759308,57.7823486328
76.018773877,#NC#NC#NC#NC#NC#NC#NC#NC
77.019557877,57.8481445312
78.020091952,0.030517578125
79.020609314,0.0153198242188
79.020609314,0.00762939453125
