timestamp,CBO.PCIE_DATA_BYTES
2.000434026,0.0151977539062
3.000667044,0.0
4.000896157,0.0
5.001131818,0.0
6.001435480,0.0
7.001682252,0.0
8.001902164,0.0
9.002139242,0.0153198242188
10.002388446,0.030517578125
11.002629159,0.0
12.002872583,0.0
13.003104062,0.0
14.003340614,0.0
15.004474764,0.0
16.004715188,0.0
17.004957747,0.0
18.005186422,124.88671875
19.005423365,124.619934082
20.005653901,124.916259766
21.005876853,124.438354492
22.006104088,124.983398438
23.006331720,124.818481445
24.006558883,124.836181641
25.006785711,125.262451172
26.007064336,124.820251465
27.007292470,124.817993164
28.007520940,123.768859863
29.007746536,125.109924316
30.007976601,124.953369141
31.008198297,124.200317383
32.008424217,124.192321777
33.008655114,125.276306152
34.008882025,124.795227051
35.009105193,124.832519531
36.009343050,124.256652832
37.009574569,124.835632324
38.009804486,124.526184082
39.010038437,124.928771973
40.010271006,122.465026855
41.010498355,124.896179199
42.010728471,125.238586426
43.010956516,124.921691895
44.011220931,125.123840332
45.011452592,124.807556152
46.011682366,124.605285645
47.011908737,124.869934082
48.012133964,125.330200195
49.012363341,124.50592041
50.012590257,123.63885498
51.012818187,124.9453125
52.013044679,124.629516602
53.013279541,125.666809082
54.013502733,125.649475098
55.013730636,124.899353027
56.013960809,124.42767334
57.014191070,125.248352051
58.014418924,124.259521484
59.014644389,123.990356445
60.014885036,125.178466797
61.015108845,124.706970215
62.015336944,124.467529297
63.015564854,124.167663574
64.015793164,124.432983398
65.016022105,125.049255371
66.016243030,124.864562988
67.016470608,124.244140625
68.016702459,124.770935059
69.016935646,124.662841797
70.017169232,124.857543945
71.017407551,124.019714355
72.017636284,123.578674316
73.017867993,125.419677734
74.018097767,124.753417969
75.018322617,124.875488281
76.018754080,124.913085938
77.019317773,123.265991211
78.019833285,0.0304565429688
78.019833285,0.0765991210938
