timestamp,CBO.LLC_DDIO_MEM_TOTAL_BYTES
2.000312106,1.50952148438
3.000500375,3.05151367188
4.000733204,1.88433837891
5.000951724,2.38696289062
6.001178267,1.59454345703
7.001394643,1.70880126953
8.001625836,1.60180664062
9.001833036,1.51055908203
10.002035176,1.45953369141
11.002265807,1.66265869141
12.002500614,1.52593994141
13.003672036,2.58862304688
14.003913513,1.09942626953
15.004170975,1.55615234375
16.004449810,1.20904541016
17.004730476,396.703186035
18.005015250,405.807312012
19.005300217,400.781494141
20.005589286,401.55090332
21.005878979,399.533691406
22.006162580,406.657226562
23.006452959,405.11126709
24.006740640,396.518188477
25.007045656,398.77331543
26.007333165,409.469299316
27.007629367,402.86138916
28.007919712,402.782592773
29.008206853,396.209411621
30.008497402,390.907592773
31.008785122,400.541015625
32.009081644,408.405639648
33.009373090,401.489013672
34.009661508,396.037353516
35.009953219,404.04284668
36.010240076,406.322570801
37.010526402,405.217468262
38.010810314,396.103393555
39.011096152,397.429199219
40.011379557,408.913818359
41.011665026,402.922363281
42.011949274,408.470275879
43.012232265,400.604614258
44.012519873,399.105773926
45.012807055,408.263244629
46.013098120,401.449951172
47.013387225,400.616271973
48.013671351,384.677246094
49.013962754,397.730957031
50.014250964,403.087097168
51.014538438,397.325866699
52.014827223,402.128417969
53.015114457,397.842163086
54.015394882,397.18927002
55.015681039,390.197570801
56.015969659,399.789855957
57.016259793,403.250244141
58.016550262,408.39050293
59.016841779,403.804138184
60.017133419,403.534790039
61.017419146,405.070617676
62.017711880,392.733337402
63.018001898,404.99005127
64.018296576,394.02331543
65.018581252,394.758239746
66.018871100,411.118286133
67.019235392,403.117431641
68.019521598,402.117675781
69.019813447,399.731140137
70.020098875,401.152587891
71.020383744,390.55291748
72.020673307,405.463378906
73.020961472,403.100402832
74.021261868,397.986572266
75.021695157,398.454223633
76.022261813,413.957275391
77.022759022,2.76245117188
78.023221295,0.793151855469
79.023735203,2.31475830078
79.023735203,1.38189697266
